Precinct	Votes	votes|Sean C. Starr	pct|Sean C. Starr	votes|Irma Cornier	pct|Irma Cornier	votes|Milagros Santiago	pct|Milagros Santiago	votes|Regner ''Ray'' Suarez	pct|Regner ''Ray'' Suarez
31001	146	2	1.37	4	2.74	64	43.84	76	52.05
31002	139	2	1.44	4	2.88	50	35.97	83	59.71
31003	145	11	7.59	4	2.76	77	53.10	53	36.55
31004	164	41	25.00	13	7.93	59	35.98	51	31.10
31005	159	10	6.29	9	5.66	87	54.72	53	33.33
31006	152	1	0.66	2	1.32	41	26.97	108	71.05
31007	137	51	37.23	6	4.38	52	37.96	28	20.44
31008	96	11	11.46	7	7.29	44	45.83	34	35.42
31009	134	9	6.72	7	5.22	74	55.22	44	32.84
31010	123	16	13.01	4	3.25	41	33.33	62	50.41
31011	112	19	16.96	6	5.36	53	47.32	34	30.36
31012	125	19	15.20	9	7.20	42	33.60	55	44.00
31013	138	7	5.07	2	1.45	53	38.41	76	55.07
31014	126	13	10.32	3	2.38	65	51.59	45	35.71
31015	127	5	3.94	10	7.87	42	33.07	70	55.12
31016	190	55	28.95	17	8.95	54	28.42	64	33.68
31017	163	9	5.52	8	4.91	89	54.60	57	34.97
31018	159	14	8.81	9	5.66	60	37.74	76	47.80
31019	127	6	4.72	6	4.72	46	36.22	69	54.33
31020	133	4	3.01	6	4.51	25	18.80	98	73.68
31021	142	2	1.41	15	10.56	33	23.24	92	64.79
31022	128	3	2.34	11	8.59	41	32.03	73	57.03
31023	131	12	9.16	4	3.05	59	45.04	56	42.75
31024	188	5	2.66	11	5.85	52	27.66	120	63.83
31025	115	10	8.70	6	5.22	50	43.48	49	42.61
31026	172	26	15.12	9	5.23	60	34.88	77	44.77
31027	168	2	1.19	8	4.76	44	26.19	114	67.86
31028	113	6	5.31	5	4.42	45	39.82	57	50.44
31029	196	17	8.67	5	2.55	54	27.55	120	61.22
31030	92	5	5.43	3	3.26	30	32.61	54	58.70
31031	149	5	3.36	7	4.70	59	39.60	78	52.35
31032	123	6	4.88	9	7.32	43	34.96	65	52.85
31033	130	21	16.15	5	3.85	51	39.23	53	40.77
31034	130	22	16.92	3	2.31	51	39.23	54	41.54
31035	167	12	7.19	10	5.99	76	45.51	69	41.32
31036	173	11	6.36	8	4.62	52	30.06	102	58.96
31037	135	2	1.48	6	4.44	39	28.89	88	65.19
31038	123	2	1.63	6	4.88	39	31.71	76	61.79
31039	146	59	40.41	10	6.85	43	29.45	34	23.29
31040	144	30	20.83	6	4.17	63	43.75	45	31.25
31041	125	5	4.00	10	8.00	44	35.20	66	52.80
