Precinct	Votes	votes|Caroline Vickrey	pct|Caroline Vickrey	votes|Jennifer ''Jen'' Kramer	pct|Jennifer ''Jen'' Kramer	votes|Michele Smith	pct|Michele Smith	votes|Jerry Quandt	pct|Jerry Quandt
43001	153	46	30.07	26	16.99	73	47.71	8	5.23
43002	237	90	37.97	39	16.46	91	38.40	17	7.17
43003	279	110	39.43	23	8.24	113	40.50	33	11.83
43004	226	52	23.01	62	27.43	96	42.48	16	7.08
43005	192	66	34.38	31	16.15	87	45.31	8	4.17
43006	152	70	46.05	25	16.45	46	30.26	11	7.24
43007	195	57	29.23	45	23.08	88	45.13	5	2.56
43008	216	89	41.20	36	16.67	85	39.35	6	2.78
43009	318	95	29.87	51	16.04	142	44.65	30	9.43
43010	246	79	32.11	47	19.11	95	38.62	25	10.16
43011	169	69	40.83	29	17.16	65	38.46	6	3.55
43012	158	46	29.11	18	11.39	84	53.16	10	6.33
43013	248	98	39.52	55	22.18	90	36.29	5	2.02
43014	283	79	27.92	75	26.50	115	40.64	14	4.95
43015	232	67	28.88	58	25.00	95	40.95	12	5.17
43016	219	66	30.14	38	17.35	95	43.38	20	9.13
43017	192	75	39.06	28	14.58	77	40.10	12	6.25
43018	266	113	42.48	39	14.66	98	36.84	16	6.02
43019	273	108	39.56	75	27.47	76	27.84	14	5.13
43020	301	161	53.49	34	11.30	84	27.91	22	7.31
43021	262	185	70.61	14	5.34	56	21.37	7	2.67
43022	137	48	35.04	18	13.14	55	40.15	16	11.68
43023	105	29	27.62	26	24.76	46	43.81	4	3.81
43024	197	39	19.80	50	25.38	95	48.22	13	6.60
43025	249	77	30.92	30	12.05	123	49.40	19	7.63
43026	207	81	39.13	22	10.63	100	48.31	4	1.93
43027	253	107	42.29	31	12.25	99	39.13	16	6.32
43028	274	100	36.50	51	18.61	107	39.05	16	5.84
43029	243	125	51.44	38	15.64	68	27.98	12	4.94
43030	220	95	43.18	42	19.09	69	31.36	14	6.36
43031	272	65	23.90	31	11.40	168	61.76	8	2.94
43032	273	97	35.53	38	13.92	122	44.69	16	5.86
43033	299	75	25.08	38	12.71	177	59.20	9	3.01
43034	193	66	34.20	38	19.69	80	41.45	9	4.66
43035	316	90	28.48	55	17.41	157	49.68	14	4.43
43036	82	35	42.68	15	18.29	27	32.93	5	6.10
43037	186	64	34.41	24	12.90	88	47.31	10	5.38
43038	261	77	29.50	53	20.31	126	48.28	5	1.92
43039	191	64	33.51	47	24.61	72	37.70	8	4.19
43040	136	42	30.88	27	19.85	55	40.44	12	8.82
43041	304	114	37.50	33	10.86	139	45.72	18	5.92
43042	214	88	41.12	27	12.62	89	41.59	10	4.67
43043	326	86	26.38	73	22.39	150	46.01	17	5.21
43044	250	129	51.60	21	8.40	87	34.80	13	5.20
43045	191	32	16.75	16	8.38	101	52.88	42	21.99
43046	110	36	32.73	15	13.64	58	52.73	1	0.91
