Precinct	Votes	votes|Howard B. Brookins, Jr.	pct|Howard B. Brookins, Jr.	votes|Marvin Mcneil	pct|Marvin Mcneil
21001	287	190	66.20	97	33.80
21002	165	78	47.27	87	52.73
21003	285	152	53.33	133	46.67
21004	247	126	51.01	121	48.99
21005	323	150	46.44	173	53.56
21006	206	95	46.12	111	53.88
21007	295	145	49.15	150	50.85
21008	267	161	60.30	106	39.70
21009	305	179	58.69	126	41.31
21010	216	102	47.22	114	52.78
21011	237	113	47.68	124	52.32
21012	234	111	47.44	123	52.56
21013	250	135	54.00	115	46.00
21014	292	175	59.93	117	40.07
21015	222	121	54.50	101	45.50
21016	240	115	47.92	125	52.08
21017	224	105	46.88	119	53.13
21018	301	180	59.80	121	40.20
21019	274	165	60.22	109	39.78
21020	214	116	54.21	98	45.79
21021	206	101	49.03	105	50.97
21022	222	130	58.56	92	41.44
21023	242	128	52.89	114	47.11
21024	268	171	63.81	97	36.19
21025	243	125	51.44	118	48.56
21026	245	134	54.69	111	45.31
21027	248	128	51.61	120	48.39
21028	307	157	51.14	150	48.86
21029	305	187	61.31	118	38.69
21030	190	102	53.68	88	46.32
21031	211	108	51.18	103	48.82
21032	253	153	60.47	100	39.53
21033	211	89	42.18	122	57.82
21034	234	128	54.70	106	45.30
21035	327	147	44.95	180	55.05
21036	244	131	53.69	113	46.31
21037	203	132	65.02	71	34.98
21038	237	103	43.46	134	56.54
21039	194	79	40.72	115	59.28
21040	239	126	52.72	113	47.28
21041	286	161	56.29	125	43.71
21042	296	153	51.69	143	48.31
21043	260	147	56.54	113	43.46
21044	272	155	56.99	117	43.01
21045	232	109	46.98	123	53.02
21046	284	146	51.41	138	48.59
21047	231	123	53.25	108	46.75
21048	242	133	54.96	109	45.04
21049	295	153	51.86	142	48.14
21050	194	97	50.00	97	50.00
21051	252	113	44.84	139	55.16
21052	244	133	54.51	111	45.49
21053	223	131	58.74	92	41.26
21054	253	156	61.66	97	38.34
