Precinct	Votes	votes|Rossana Sanchez	pct|Rossana Sanchez	votes|Deborah L. Mell	pct|Deborah L. Mell
33001	356	240	67.42	116	32.58
33002	507	261	51.48	246	48.52
33003	492	285	57.93	207	42.07
33004	483	254	52.59	229	47.41
33005	313	169	53.99	144	46.01
33006	326	108	33.13	218	66.87
33007	388	252	64.95	136	35.05
33008	611	228	37.32	383	62.68
33009	452	164	36.28	288	63.72
33010	431	188	43.62	243	56.38
33011	449	220	49.00	229	51.00
33012	375	168	44.80	207	55.20
33013	354	187	52.82	167	47.18
33014	154	79	51.30	75	48.70
33015	349	206	59.03	143	40.97
33016	483	225	46.58	258	53.42
33017	411	214	52.07	197	47.93
33018	429	263	61.31	166	38.69
33019	405	199	49.14	206	50.86
33020	440	283	64.32	157	35.68
33021	389	185	47.56	204	52.44
33022	391	128	32.74	263	67.26
33023	427	205	48.01	222	51.99
33024	620	213	34.35	407	65.65
33025	472	215	45.55	257	54.45
33026	268	193	72.01	75	27.99
33027	393	230	58.52	163	41.48
33028	327	192	58.72	135	41.28
