Precinct	Votes	votes|Mary O'Connor	pct|Mary O'Connor	votes|Joe Lomanto	pct|Joe Lomanto	votes|Anthony V. Napolitano	pct|Anthony V. Napolitano
41001	327	107	32.72	48	14.68	172	52.60
41002	361	142	39.34	46	12.74	173	47.92
41003	304	164	53.95	18	5.92	122	40.13
41004	374	209	55.88	42	11.23	123	32.89
41005	309	134	43.37	44	14.24	131	42.39
41006	359	238	66.30	25	6.96	96	26.74
41007	404	149	36.88	86	21.29	169	41.83
41008	339	134	39.53	40	11.80	165	48.67
41009	306	153	50.00	30	9.80	123	40.20
41010	380	192	50.53	36	9.47	152	40.00
41011	364	153	42.03	43	11.81	168	46.15
41012	307	193	62.87	23	7.49	91	29.64
41013	360	122	33.89	29	8.06	209	58.06
41014	360	204	56.67	54	15.00	102	28.33
41015	381	161	42.26	32	8.40	188	49.34
41016	295	161	54.58	23	7.80	111	37.63
41017	311	175	56.27	24	7.72	112	36.01
41018	307	127	41.37	25	8.14	155	50.49
41019	377	212	56.23	38	10.08	127	33.69
41020	272	167	61.40	19	6.99	86	31.62
41021	322	176	54.66	30	9.32	116	36.02
41022	340	149	43.82	43	12.65	148	43.53
41023	325	131	40.31	11	3.38	183	56.31
41024	292	144	49.32	16	5.48	132	45.21
41025	137	85	62.04	10	7.30	42	30.66
41026	345	167	48.41	34	9.86	144	41.74
41027	193	92	47.67	13	6.74	88	45.60
41028	175	107	61.14	21	12.00	47	26.86
41029	145	98	67.59	15	10.34	32	22.07
41030	321	138	42.99	23	7.17	160	49.84
41031	398	293	73.62	26	6.53	79	19.85
41032	249	119	47.79	17	6.83	113	45.38
41033	296	117	39.53	22	7.43	157	53.04
41034	274	104	37.96	19	6.93	151	55.11
41035	366	131	35.79	34	9.29	201	54.92
41036	302	130	43.05	24	7.95	148	49.01
41037	332	165	49.70	22	6.63	145	43.67
41038	283	119	42.05	19	6.71	145	51.24
41039	337	186	55.19	29	8.61	122	36.20
41040	399	158	39.60	71	17.79	170	42.61
41041	342	132	38.60	16	4.68	194	56.73
41042	328	149	45.43	40	12.20	139	42.38
41043	328	128	39.02	19	5.79	181	55.18
41044	367	134	36.51	51	13.90	182	49.59
41045	272	133	48.90	29	10.66	110	40.44
41046	368	196	53.26	37	10.05	135	36.68
41047	311	154	49.52	43	13.83	114	36.66
